time,voltage
0,-80
20,-80
21,50
420,50
421,-110
820,-110
821,-80
840,-80
841,40
1240,40
1241,-110
1640,-110
1641,-80
1660,-80
1661,30
2060,30
2061,-110
2460,-110
2461,-80
2480,-80
2481,20
2880,20
2881,-110
3280,-110
3281,-80
3300,-80
3301,10
3700,10
3701,-110
4100,-110
4101,-80
4120,-80
4121,0
4520,0
4521,-110
4920,-110
4921,-80
4940,-80
4941,-10
5340,-10
5341,-110
5740,-110
5741,-80
5760,-80
5761,-20
6160,-20
6161,-110
6560,-110
6561,-80
6580,-80
6581,-30
6980,-30
6981,-110
7380,-110
7381,-80
7400,-80
7401,-40
7800,-40
7801,-110
8200,-110
8201,-80
8220,-80
8221,-50
8620,-50
8621,-110
9020,-110
9021,-80
9040,-80
9041,-60
9440,-60
9441,-110
9840,-110
9841,-80
9860,-80
9861,-70
10260,-70
10261,-110
10660,-110
